"docid"	"actualdate"	"earliestdate"	"firstpub"	"tags"	"recordid"	"OCLC"	"author"	"enumcron"	"title"	"gender"	"nationality"	"authsvols"
"uc2.ark+=13960=t1pg1nv9w"	1876	1876	1876	"elite"	6131638	13339593	"Broughton, Rhoda"	"v.2"	"Joan"	"f"	"uk"	87
"mdp.39015063761210"	1876	1876	1876	"elite"	280979	13154969	"Black, William"	"v.2"	"Madcap Violet"	"m"	"uk"	279
"mdp.39015005616654"	1876	1876	1876	"vulgar"			"Brown, Oliver Madox-"		"The Dwale bluth"	"m"	"uk"	2
"mdp.39015063761202"	1876	1876	1876	"elite"	280979	13154969	"Black, William"	"v.1"	"Madcap Violet"	"m"	"uk"	279
"njp.32101068175080"	1876	1876	1876	"vulgar"			"Butler, William Allen"		"Mrs. Limber's raffle, or, A church fair and its victims"	"m"	"us"	5
"uc2.ark+=13960=t21c1zs54"	1876	1876	1876	"elite"	6131638	13339593	"Broughton, Rhoda"	"v.1"	"Joan"	"f"	"uk"	87
"uc2.ark+=13960=t5x63gm9z"	1876	1876	1876	"elite"	6131638	13339593	"Broughton, Rhoda"	"v.3"	"Joan"	"f"	"uk"	87
"uiuo.ark+=13960=t16m3hs4q"	1876	1876	1876	"vulgar"			"Chandler, W. A"		"Thrice"	"u"		2
"njp.32101068166055"	1876	1876	1876	"vulgar"			"Charlesworth, Maria Louisa"		"Oliver of the mill"	"f"	"uk"	10
"mdp.39015063761228"	1876	1876	1876	"elite"	280979	13154969	"Black, William"	"v.3"	"Madcap Violet"	"m"	"uk"	279
"uc2.ark+=13960=t5k93292h"	1876	1876	1876	"vulgar"			"Finley, Martha"		"Mildred Keith"	"f"	"us"	71
"nyp.33433074871439"	1876	1876	1876	"presentaselite"			"Keary, Annie"		"A York and a Lancaster rose"	"f"	"uk"	17
"nyp.33433074835400"	1876	1876	1876	"vulgar"			"Bellamy, Elizabeth W"		"The little Joanna"	"f"	"us"	3
"uc2.ark+=13960=t9t15276t"	1876	1876	1876	"elite"	630036	23861764	"MacDonald, George"		"Thomas Wingfold, curate"	"m"	"uk"	144
"uiuo.ark+=13960=t1hh6x71z"	1876	1876	1876	"presentaselite"			"Grant, James"		"Morley Ashton"	"m"	"uk"	93
"uiuo.ark+=13960=t2794f36r"	1877	1877	1877	"elite"	8664133	11712744	"Allardyce, Alexander"	"v.3"	"The city of sunshine"	"m"	"uk"	7
"uiuo.ark+=13960=t0ht34v35"	1877	1877	0	"vulgar"			"Lloyd, Jessie Sale"		"The Hazelhurst mystery"		"uk"	5
"mdp.39015053262294"	1899	1877	1877	"vulgar"			"Jokai, Mór"		"Pretty Michal"	"m"	"hungary"	76
"uc2.ark+=13960=t7xk87j6z"	1877	1877	1877	"vulgar"			"Forrester, Mrs"		"Mignon"	"f"	"uk"	17
"uiuo.ark+=13960=t17m0j24w"	1877	1877	1877	"elite"	8664133	11712744	"Allardyce, Alexander"	"v.1"	"The city of sunshine"	"m"	"uk"	7
"uiuo.ark+=13960=t39z9dj6h"	1877	1877	1877	"elite"	8664133	11712744	"Allardyce, Alexander"	"v.2"	"The city of sunshine"	"m"	"uk"	7
"uc1.b4104982"	1877	1877	1877	"elite"	323694	2341500	"Burnett, Frances Hodgson"		"That lass o' Lowrie's"	"f"	"us"	166
"nyp.33433074888961"	1877	1877	1877	"vulgar"			"Linton, E. Lynn"		"From dreams to waking"	"f"	"uk"	50
"uiuo.ark+=13960=t1bk1r841"	1877	1877	1877	"vulgar"			"De Fonblanque, Albany"		"Bad luck"	"m"	"uk"	18
"nyp.33433081852638"	1877	1877	1879	"elite"	8612167		"James, Henry"		"The American"	"m"	"us"	543
"uiuo.ark+=13960=t44q8885q"	1877	1877	1877	"vulgar"			"Edwards, Matilda Betham"		"Bridget"	"f"	"uk"	3
"uiuo.ark+=13960=t12n5tf8r"	1877	1877	1877	"vulgar"			"Durrant, Valentine"		"A modern minister"	"m"	"uk"	2
"njp.32101067634459"	1878	1878	1878	"elite"	8961462	9617692	"Hamerton, Philip Gilbert"		"Marmorne"	"m"	"uk"	14
"uiuo.ark+=13960=t53f5dr3r"	1878	1878	1878	"vulgar"			"Vereker, Charles Smyth"		"The child of the desert"	"m"	"uk"	3
"wu.89099776841"	1878	1878	1878	"elite"	8995982	70808269	"Craik, Dinah Maria Mulock"		"Young Mrs. Jardine"	"f"	"uk"	168
"uiuo.ark+=13960=t3st7v616"	1878	1878		"vulgar"			"Armitt, Annie"		"The garden at Monkholme"	"f"	"uk"	3
"uiuo.ark+=13960=t43r1cm88"	1878	1878	1878	"vulgar"			"Lockhart, Laurence W. M"		"Mine is thine"	"m"	"uk"	10
"nyp.33433076049794"	1879	1879		"vulgar"			"Rayne, M. L"		"Fallen among thieves"	"f"	"us"	6
"uiuo.ark+=13960=t7tm7kq3x"	1879	1879		"vulgar"			"Edwards, Harry Bennett"		"A tantalus cup;"			3
"inu.39000003330789"	1879	1879	1879	"elite"	6059987	2620860	"Fothergill, Jessie"	"v.1"	"Probation"	"f"	"uk"	48
"uiuo.ark+=13960=t2h70xd4w"	1879	1879	1879	"elite"	8719371	41248950	"Keary, Annie"	"v.1"	"A doubting heart"	"f"	"uk"	17
"uiuo.ark+=13960=t1sf38n52"	1879	1879	1879	"elite"	8719371	41248950	"Keary, Annie"	"v.2"	"A doubting heart"	"f"	"uk"	17
"nyp.33433082353768"	1884	1879	1879	"elite"	8654975	13753928	"Kingston, William Henry Giles"		"From powder monkey to admiral"	"m"	"uk"	66
"mdp.39015063961315"	1880	1879	1879	"elite"	123491	1188302	"[Sprague, Mary Aplin]"		"An earnest trifler"	"f"	"us"	1
"inu.39000003330797"	1879	1879	1879	"elite"	6059987	2620860	"Fothergill, Jessie"	"v.2"	"Probation"	"f"	"uk"	48
"nnc1.cu58327010"	1879	1879		"vulgar"			"O'Reilly, Bernard"		"The two brides"	"m"	"ir"	3
"uiuo.ark+=13960=t4hm5w02c"	1879	1879		"vulgar"			"Noble, Frances"		"Violet Mortimer"	"u"		3
"dul1.ark+=13960=t3nw0276b"	1879	1879		"vulgar"			"Linton, E. Lynn"		"Under which Lord?"	"f"	"uk"	50
"uiuo.ark+=13960=t1wd4h96x"	1879	1879		"vulgar"			"Tabor, Eliza"		"The last of her line"	"f"	"uk"	61
"uc2.ark+=13960=t04x54r17"	1879	1879		"vulgar"			"Finley, Martha"		"Mildred at Roselands;"	"f"	"us"	71
"uiuo.ark+=13960=t7hq4fp6c"	1879	1879	1879	"elite"	8719371	41248950	"Keary, Annie"	"v.3"	"A doubting heart"	"f"	"uk"	17
"uiuo.ark+=13960=t0vq3kb3w"	1879	1879		"vulgar"			"Newall, John"		"Nature's nobility"	"m"		3
"nyp.33433074869375"	1879	1879	1879	"elite"	117855	4358261	"Ingelow, Jean"		"Sarah de Berenger"	"f"	"uk"	24
"inu.39000003330680"	1879	1879	1879	"elite"	6059987	2620860	"Fothergill, Jessie"	"v.3"	"Probation"	"f"	"uk"	48
"mdp.39015065957253"	1879	1879		"vulgar"			"Yonge, Charlotte M"		"Magnum bonum, or Mother Carey's brood"	"f"	"uk"	218
"nnc1.1002208741"	1879	1879		"vulgar"			"Perry, Alice"		"More ways than one"	"f"	"us"	2
"nyp.33433018442024"	1879	1879		"vulgar"			"Garvice, Charles"		"The story of a passion"	"m"	"uk"	26
"uiuo.ark+=13960=t78s57g82"	1879	1879		"vulgar"			"Knight, Wynter Frore"		"Our vicar"	"u"		3
"uva.x030788142"	1879	1879	1879	"elite"	9776577	669920629	"Butt, Beatrice May"		"Delicia"	"f"	"uk"	5
"uc2.ark+=13960=t09w0b884"	1879	1879	1879	"elite"	7657315	1684410	"Elliott, Sarah Barnwell"		"The Felmeres"	"f"	"us"	8
"uc2.ark+=13960=t84j0cp08"	1879	1879		"vulgar"			"Montgomery, Florence"		"Seaforth"	"f"	"uk"	29
"uc2.ark+=13960=t17m04t77"	1879	1879	1879	"elite"	1421662	625387	"Cable, George Washington"		"Old Creole days"	"m"	"us"	63
"nyp.33433076072028"	1879	1879	1879	"elite"	1423408	5319507	"Jewett, Sarah Orne"		"Old friends and new"	"f"	"us"	73
"nc01.ark+=13960=t74t73k55"	1879	1879	1879	"elite"	1187408	1456408	"Tourgée, Albion Winegar"		"Figs and thistles"	"m"	"us"	36
"njp.32101068176658"	1879	1879	1879	"elite"	8969034	1040755	"Douglas, Amanda Minnie"		"Hope mills;"	"f"	"us"	38
"uc2.ark+=13960=t1qf8t16c"	1879	1879		"presentaselite"			"Taylor, Meadows"		"Tara"	"m"	"uk"	35
"njp.32101066107804"	1879	1879	1879	"elite"	9246309	30527056	"O'Reilly, John Boyle"		"Moondyne: a story from the underworld"	"m"	"ir"	3
"uiuo.ark+=13960=t1qf91c76"	1880	1880		"vulgar"			"Colvill, Helen Hester"		"A dreamer"	"f"	"uk"	9
"njp.32101079670517"	1909	1880	1880	"elite"	9038144	18548873	"James, Henry"		"The portrait of a lady"	"m"	"us"	543
"uc2.ark+=13960=t4vh5db24"	1880	1880		"vulgar"			"Miller, Thomas"		"Little Blue Hood"	"m"	"uk"	16
"uc2.ark+=13960=t25b01m57"	1880	1880		"vulgar"			"Brame, Charlotte M"		"Repented at leisure"	"f"	"uk"	21
"njp.32101063607269"	1880	1880		"vulgar"			"Marryat, Florence"		"Fighting the air"	"f"	"uk"	83
"uiuo.ark+=13960=t8sb41f1t"	1882	1880	1880	"elite"	8719249	544204	"Adams, Henry"		"Democracy"	"m"	"us"	3
"mdp.39015012373794"	1880	1880		"vulgar"			"Mayo, Isabella (Fyvie)"		"Her object in life"	"f"	"uk"	1
"uc1.b3322001"	1880	1880		"vulgar"			"Buxton, B. H"		"Nell"	"f"	"uk"	4
"nyp.33433074952148"	1880	1880		"vulgar"			"Currier, Emma C"		"Hubbub"			1
"uc1.b3327527"	1880	1880		"vulgar"			"Payn, James"		"Married beneath him"	"m"	"uk"	109
"uiuo.ark+=13960=t2b85wr4n"	1880	1880		"vulgar"			"Christie-Murray, David"		"A life's atonement"	"m"	"uk"	5
"nyp.33433074945746"	1880	1880		"remove"			"Collins, Wilkie"		"I say no; or, The love-letter answered;"	"m"	"uk"	231
"uc1.b3048116"	1880	1880		"vulgar"			"Du Boisgobey, Fortuné"		"Sensational novels"	"m"	"french"	28
"wu.89090340324"	1880	1880		"vulgar"			"Buxton, B. H"		"From the wings"	"f"	"uk"	4
"uiuo.ark+=13960=t2d79qg2t"	1880	1880		"vulgar"			"Greg, Percy"		"Errant"	"m"	"uk"	17
"nyp.33433034410054"	1880	1880		"vulgar"			"Carey, Rosa Nouchette"		"Nellie's memories;"	"f"	"uk"	113
"uc2.ark+=13960=t0ht2v58x"	1880	1880		"vulgar"			"Gowing, Aylmer"		"My only love;"	"f"	"uk"	4
"nc01.ark+=13960=t05x2rh1q"	1880	1880		"vulgar"			"Goff, H. N. K"		"Other fools and their doings"	"f"	"us"	2
"njp.32101066459908"	1880	1880		"vulgar"			"Goulding, F. R"		"Adventures among the Indians"	"m"	"us"	3
"uiuo.ark+=13960=t7hq4m576"	1880	1880	1880	"elite"	8723906	82342663	"Walford, Lucy Bethia"	"v.3"	"Troublesome daughters"	"f"	"uk"	34
"wu.89097996409"	1880	1880		"vulgar"			"Libbey, Laura Jean"		"Little Rosebud's lovers, or, A cruel revenge"	"f"	"us"	10
"nnc1.cu58507493"	1880	1880		"vulgar"			"Sala, George Augustus"		"Quite alone;"	"m"	"uk"	35
"uiuo.ark+=13960=t5t72pq4d"	1880	1880	1880	"elite"	8722370	43303547	"Aïdé, Hamilton"	"v.1"	"Poet and peer"	"m"	"uk"	14
"uc2.ark+=13960=t9j38r92d"	1880	1880		"vulgar"			"Valentine, L"		"We three boys"			4
"uiuo.ark+=13960=t2v41110q"	1880	1880	1880	"elite"	8722370	43303547	"Aïdé, Hamilton"	"v.2"	"Poet and peer"	"m"	"uk"	14
"uiuo.ark+=13960=t3417852c"	1880	1880	1880	"elite"	8722370	43303547	"Aïdé, Hamilton"	"v.3"	"Poet and peer"	"m"	"uk"	14
"mdp.39015030851763"	1880	1880	1880	"elite"	475604	10940052	"Blackmore, R. D"	"v.2"	"Mary Anerley"	"m"	"uk"	108
"mdp.39015030851755"	1880	1880	1880	"elite"	475604	10940052	"Blackmore, R. D"	"v.1"	"Mary Anerley"	"m"	"uk"	108
"uc1.b249560"	1880	1880	1880	"elite"	6502100	21086698	"Broughton, Rhoda"	"v. 2"	"Second thoughts"	"f"	"uk"	87
"uc1.b249559"	1880	1880	1880	"elite"	6502100	21086698	"Broughton, Rhoda"	"v. 1"	"Second thoughts"	"f"	"uk"	87
"uiuo.ark+=13960=t0tq6k46g"	1880	1880	1880	"elite"	8723906	82342663	"Walford, Lucy Bethia"	"v.1"	"Troublesome daughters"	"f"	"uk"	34
"uiuo.ark+=13960=t7tm7tp6t"	1880	1880		"vulgar"			"Praed, Campbell"		"An Australian heroine"	"f"	"au"	45
"uiuo.ark+=13960=t5h99sh0k"	1880	1880	1880	"elite"	8723906	82342663	"Walford, Lucy Bethia"	"v.2"	"Troublesome daughters"	"f"	"uk"	34
"uc2.ark+=13960=t6736nr4k"	1880	1880		"vulgar"			"Hawthorne, Julian"		"Garth: a novel"	"m"	"us"	103
"nc01.ark+=13960=t6b28c502"	1880	1880	1880	"elite"	1187405	44496413	"Tourgée, Albion Winegar"		"Bricks without straw"	"m"	"us"	36
"uc2.ark+=13960=t9r20sh4z"	1880	1880	1880	"elite"	7645928	3681674	"Latimer, Elizabeth Wormeley"		"Salvage"	"f"	"us"	8
"njp.32101068168929"	1880	1880	1880	"elite"	7688063	652731	"Fothergill, Jessie"	"vol.1"	"The wellfields"	"f"	"uk"	48
"njp.32101068168911"	1880	1880	1880	"elite"	7688063	652731	"Fothergill, Jessie"	"vol.2"	"The wellfields"	"f"	"uk"	48
"nyp.33433076043052"	1880	1880		"vulgar"			"Roe, Edward Payson"		"An original belle"	"m"	"us"	91
"njp.32101042563039"	1880	1880	1880	"elite"	6155796	3888582	"Bellamy, Edward"		"--Dr. Heidenhoff's process"	"m"	"us"	19
"uc2.ark+=13960=t05x2648j"	1880	1880	1880	"elite"	384693	985828	"Aldrich, Thomas Bailey"		"The stillwater tragedy"	"m"	"us"	114
"njp.32101068168903"	1880	1880	1880	"elite"	7688063	652731	"Fothergill, Jessie"	"vol.3"	"The wellfields"	"f"	"uk"	48
"uc2.ark+=13960=t4sj1d326"	1880	1880	1880	"elite"	6607189	11864213	"Cooke, John Esten"		"The Virginia Bohemians;"	"m"	"us"	54
"uc1.b249764"	1881	1881	1881	"elite"	6502228	8603846	"Fawcett, Edgar"		"A gentleman of leisure"	"m"	"us"	35
"njp.32101068178340"	1881	1881	1881	"vulgar"	8969133	9990558	"Henty, G. A"		"The cornet of horse"	"m"	"uk"	600
"nyp.33433076023245"	1881	1881		"vulgar"			"Newell, Charles Martin"		"Kalani of Oahu"	"m"	"us"	4
"uiuo.ark+=13960=t3126gn25"	1881	1881	0	"vulgar"			"Lean, Florence"		"My sister the actress"	"f"	"uk"	15
"nyp.33433084129646"	1881	1881		"vulgar"			"Leslie, Madeline"		"The two homes; or, Earning and spending"	"f"	"us"	48
"mdp.39015059375942"	1881	1881	1881	"vulgar"			"Bynner, Edwin Lassetter"		"Damen's ghost"	"m"	"us"	18
"uiuo.ark+=13960=t7dr3dc21"	1881	1881		"vulgar"			"Middlemass, Jean"		"Sackcloth and broadcloth"	"f"	"uk"	9
"nyp.33433082170790"	1881	1881	0	"vulgar"			"Alexander, M"		"Going west"	"m"	"us"	1
"uiuo.ark+=13960=t9z03rv69"	1881	1881	1881	"elite"	8720764	176044	"Shorthouse, J. H"	"v.2"	"John Inglesant;"	"m"	"uk"	29
"uc1.32106002062997"	1881	1881	1881	"elite"	6156134	475334	"Burnett, Frances Hodgson"		"A fair barbarian"	"f"	"us"	166
"uva.x000956960"	1882	1882	1883	"elite"	4435242	4717721	"Howells, William Dean"		"A woman's reason"	"m"	"us"	327
"njp.32101068169505"	1882	1882	1882	"elite"	8968502	13343025	"Gerard, E"	"vol.2"	"Beggar my neighbor"	"f"	"uk"	11
"uiuo.ark+=13960=t01z4t30j"	1882	1882		"vulgar"			"Croker, B. M"		"Proper pride"	"f"	"ir"	46
"mdp.39015006580941"	1882	1882	1882	"elite"	245216	6757272	"Anstey, F"		"Vice versâ;"	"m"	"uk"	67
"njp.32101068169513"	1882	1882	1882	"elite"	8968502	13343025	"Gerard, E"	"vol.1"	"Beggar my neighbor"	"f"	"uk"	11
"nyp.33433082303953"	1882	1882		"vulgar"			"Glascock, Mary W"		"Dare"			1
"uc2.ark+=13960=t0ks6p45r"	1882	1882	1882	"elite"	7685462	7436102	"Ballantyne, R. M"		"The battery and the boiler, or, Adventures in the laying of submarine electric cables"	"m"	"uk"	75
"uiuo.ark+=13960=t3xs6018h"	1882	1882		"vulgar"			"Barrett, Frank"		"A prodigal's progress"	"m"	"uk"	31
"uiuo.ark+=13960=t9h427g45"	1882	1882		"vulgar"			"Jefferies, Richard"		"Bevis"	"m"	"uk"	59
"njp.32101068169497"	1882	1882	1882	"elite"	8968502	13343025	"Gerard, E"	"vol.3"	"Beggar my neighbor"	"f"	"uk"	11
"nyp.33433076059488"	1882	1882		"vulgar"			"Pomeroy, Mark M"		"Brick-dust;"	"m"	"us"	15
"uc2.ark+=13960=t3416vd9j"	1882	1882		"vulgar"			"Otis, James"		"Mr. Stubbs's brother;"	"m"	"us"	65
"nyp.33433081603049"	1882	1882		"presentaselite"			"Twain, Mark"		"The stolen white elephant, etc"	"m"	"us"	509
"njp.32101062935901"	1882	1882		"vulgar"			"Evans, Augusta J"		"Inez: a tale of the Alamo"	"f"	"us"	24
"nyp.33433082530985"	1883	1883		"presentaselite"			"Eggleston, Edward"		"The Hoosier school-master"	"m"	"us"	52
"uc2.ark+=13960=t2r49pd51"	1883	1883	1883	"elite"	7695277	364129938	"Conway, Hugh"		"Called back"	"m"	"uk"	17
"njp.32101068178878"	1883	1883		"vulgar"			"Hatton, Joseph"		"A modern Ulysses"	"m"	"uk"	39
"uc1.b251155"	1883	1883	1883	"elite"	6502891	12084876	"Harte, Bret"		"In the Carquinez woods"	"m"	"us"	474
"nyp.33433074795331"	1883	1883	1883	"elite"	8661216	11560349	"Woolson, Constance Fenimore"		"For the major"	"f"	"us"	21
"mdp.39015012354869"	1883	1883		"vulgar"			"Bowles, Thomas Gibson"		"Flotsam and jetsam"	"m"	"uk"	4
"mdp.39015002719386"	1888	1883	1883	"elite"	1377944	5823806	"Schreiner, Olive"		"The story of an African farm"	"f"	"za"	22
"mdp.39015059395056"	1884	1883	1883	"elite"	117392	11796163	"Crawford, F. Marion"	"v.2"	"To leeward"	"m"	"us"	306
"mdp.39015059395049"	1884	1883	1883	"elite"	117392	11796163	"Crawford, F. Marion"	"v.1"	"To leeward"	"m"	"us"	306
"uc2.ark+=13960=t6nz85s88"	1888	1883	1883	"elite"	7691022	13278387	"anonymous4"		"My trivial life and misfortune"			0
"uc1.b318289"	1884	1884		"vulgar"			"Du Boisgobey, Fortuné"		"Babiole, the pretty milliner"	"m"	"french"	28
"uiuo.ark+=13960=t79s21g78"	1884	1884	1884	"elite"	8724227	5542538	"Lyall, Edna"	"v.2"	"We two"	"f"	"uk"	53
"njp.32101067633253"	1884	1884		"vulgar"			"Diehl, Alice M"		"The knave of hearts"	"f"	"uk"	9
"uc2.ark+=13960=t7cr5nv4m"	1889	1884	1884	"elite"	7663178	37138742	"Jackson, Helen Hunt"		"Ramona"	"f"	"us"	49
"uiuo.ark+=13960=t13n2dw98"	1884	1884	1884	"elite"	8724227	5542538	"Lyall, Edna"	"v.3"	"We two"	"f"	"uk"	53
"uiuo.ark+=13960=t9f47xt5p"	1884	1884	1884	"elite"	8724227	5542538	"Lyall, Edna"	"v.1"	"We two"	"f"	"uk"	53
"uiuo.ark+=13960=t9k36b97d"	1884	1884		"vulgar"			"Craik, Georgiana M"		"Godfrey Helstone"	"f"	"uk"	37
"mdp.39015031236584"	1917	1884	1884	"elite"	591617	247881	"Howe, E. W"		"The story of a country town"	"m"	"us"	5
"uiuo.ark+=13960=t4gm8k930"	1884	1884		"vulgar"			"Fenn, George Manville"		"Sweet Mace"	"m"	"uk"	68
"njp.32101065847475"	1884	1884	1884	"elite"	9247258	19480881	"Murfree, Mary Noailles"		"Where the battle was fought"	"f"	"us"	72
"wu.89049670433"	1903	1884	1884	"remove"			"Dahn, Felix"		"Felicitas"	"m"	"german"	5
"uc2.ark+=13960=t1ng4rz6v"	1884	1884		"vulgar"			"Chatterji, Bankim Chandra"		"The poison tree;"	"m"	"bengali"	10
"uiuo.ark+=13960=t9f47xn9c"	1884	1884		"vulgar"			"Banks, G. Linnaeus"		"Sybilla and other stories"	"f"	"uk"	22
"njp.32101064918103"	1884	1884		"vulgar"			"Cooper, Katherine"		"Gideon's rock"	"f"	"uk"	8
"uiuo.ark+=13960=t79s28b7c"	1884	1884		"vulgar"			"Tytler, Sarah"		"Saint Mung's city"	"f"	"uk"	50
"uc2.ark+=13960=t10p1901j"	1885	1885	1885	"elite"	7708064	9638559	"Malet, Lucas"	"v.2"	"Colonel Enderby's wife"	"f"	"uk"	46
"uiuo.ark+=13960=t1fj34d94"	1885	1885		"vulgar"			"Wingfield, Lewis"		"Barbara Philpot"	"m"	"ir"	14
"uc2.ark+=13960=t3bz6461g"	1897	1885	1885	"elite"	7667085	7396842	"Meredith, George"		"Diana of the Crossways"	"m"	"uk"	500
"uc2.ark+=13960=t43r0sj8z"	1885	1885		"vulgar"			"Guernsey, Lucy Ellen"		"Oldham"	"f"	"us"	27
"uc1.b149265"	1885	1885		"vulgar"			"Lathrop, George Parsons"		"In the distance"	"m"	"us"	20
"uiuo.ark+=13960=t3223dc0z"	1885	1885	1885	"elite"	8718947	220765036	"Malet, Lucas"	"v.3"	"Colonel Enderby's wife"	"f"	"uk"	46
"uc2.ark+=13960=t49p38m1k"	1885	1885	1885	"elite"	7708064	9638559	"Malet, Lucas"	"v.1"	"Colonel Enderby's wife"	"f"	"uk"	46
"njp.32101067632644"	1885	1885	1885	"elite"	8961337	9917309	"Ouida"	"v.2"	"Othmar"	"f"	"uk"	237
"njp.32101067647303"	1885	1885		"vulgar"			"Warden, Florence"		"A prince of darkness"	"f"	"uk"	42
"wu.89104493895"	1885	1885		"vulgar"			"Spencer, Lillian"		"After all"			1
"uiuo.ark+=13960=t6h13np7s"	1885	1885		"vulgar"			"Smart, Hawley"		"Tie and trick"	"m"	"uk"	78
"njp.32101067632198"	1885	1885	1885	"elite"	8961337	9917309	"Ouida"	"v.1"	"Othmar"	"f"	"uk"	237
"njp.32101067632636"	1885	1885	1885	"elite"	8961337	9917309	"Ouida"	"v.3"	"Othmar"	"f"	"uk"	237
"uiuo.ark+=13960=t65439787"	1886	1886	1886	"elite"	8720480	152580259	"Lawless, Emily"	"v.1"	"Hurrish"	"f"	"ir"	24
"uc2.ark+=13960=t6n01078q"	1886	1886		"presentaselite"			"Grant, Robert"		"A romantic young lady"	"m"	"us"	47
"njp.32101066458975"	1886	1886		"vulgar"			"Gibbon, Charles"		"Clare of Claresmede"	"m"	"uk"	37
"uc1.b3124668"	1886	1886		"vulgar"			"Hawthorne, Julian"		"The trial of Gideon"	"m"	"us"	103
"uiuo.ark+=13960=t85h8377h"	1886	1886	1886	"elite"	8718279	9584953	"Norris, W. E"	"v.1"	"A bachelor's blunder"	"m"	"uk"	107
"uiuo.ark+=13960=t8bg31g17"	1886	1886		"vulgar"			"Fane, Violet"		"Thro' love and war"	"f"	"uk"	16
"uiuo.ark+=13960=t95720v3n"	1886	1886	1886	"elite"	8720480	152580259	"Lawless, Emily"	"v.2"	"Hurrish"	"f"	"ir"	24
"uiuo.ark+=13960=t6h13936j"	1886	1886	1886	"elite"	8718816	4323373	"Besant, Walter"	"v.1"	"Children of Gibeon"	"m"	"uk"	203
"uiuo.ark+=13960=t4gm8rt0b"	1886	1886	1886	"elite"	8718279	9584953	"Norris, W. E"	"v.3"	"A bachelor's blunder"	"m"	"uk"	107
"uiuo.ark+=13960=t44q87z39"	1886	1886		"vulgar"			"Dowling, Richard"		"Tempest-driven"	"m"	"ir"	8
"uiuo.ark+=13960=t7cr63984"	1886	1886	1886	"elite"	8718816	4323373	"Besant, Walter"	"v.3"	"Children of Gibeon"	"m"	"uk"	203
"uiuo.ark+=13960=t8jd54p32"	1886	1886	1886	"elite"	8718816	4323373	"Besant, Walter"	"v.2"	"Children of Gibeon"	"m"	"uk"	203
"uc2.ark+=13960=t6tx37k6r"	1886	1886		"vulgar"			"Vandegrift, Margaret"		"Ways and means"	"f"	"us"	2
"njp.32101063580268"	1900	1886	1886	"elite"	8916598	17653915	"Hume, Fergus"		"The mystery of a hansom cab"	"m"	"uk"	77
"uiuo.ark+=13960=t8gf1c956"	1886	1886	1886	"elite"	8718279	9584953	"Norris, W. E"	"v.2"	"A bachelor's blunder"	"m"	"uk"	107
"uc2.ark+=13960=t4sj1g55c"	1886	1886	1886	"elite"	669957	5132381	"Lang, Andrew"		"The mark of Cain"	"m"	"uk"	86
"nyp.33433074880034"	1886	1886	1885	"vulgar"			"Marryat, Florence"		"The heir presumptive"	"f"	"uk"	83
"njp.32101068152931"	1919	1886	1886	"elite"	8967828	43291182	"Haggard, H. Rider"		"She"	"m"	"uk"	121
"njp.32101068166162"	1886	1886		"vulgar"			"Chetwynd, Henry Wayland"		"Sara"			12
"uc1.b3327277"	1886	1886		"vulgar"			"Whitney, A. D. T"		"Bonnyborough"	"f"	"us"	50
"uc2.ark+=13960=t1gh9bk2q"	1887	1886	1886	"elite"	7939759	7582463	"Phelps, Elizabeth Stuart"		"The Madonna of the tubs"	"f"	"us"	51
"uc1.b4113044"	1886	1886		"vulgar"			"Brierley, Benjamin"		"Cast upon the world"	"m"	"uk"	6
"mdp.39015065549779"	1887	1887		"vulgar"			"Saltus, Edgar"		"Mr. Incoul's misadventure"	"m"	"us"	47
"uc2.ark+=13960=t32230v84"	1887	1887		"presentaselite"			"Anstey, F"		"The tinted Venus"	"m"	"uk"	67
"uc2.ark+=13960=t3320543j"	1887	1887	1887	"elite"	7696886	225838	"Black, William"	"v.1"	"Sabina Zembra"	"m"	"uk"	279
"uc2.ark+=13960=t6rx9gk2c"	1887	1887	1887	"elite"	7696886	225838	"Black, William"	"v.2"	"Sabina Zembra"	"m"	"uk"	279
"uiuo.ark+=13960=t4zg74x38"	1887	1887		"vulgar"			"Linskill, Mary"		"In exchange for a soul;"	"f"	"uk"	5
"uiuo.ark+=13960=t49p3nb8x"	1887	1887		"vulgar"			"Philips, F. C"		"The dean and his daughter"			23
"uiuo.ark+=13960=t3nv9qx3s"	1887	1887	1887	"elite"	8721815	1836678	"Barry, William Francis"	"v.3"	"The new Antigone"	"m"	"uk"	14
"uc2.ark+=13960=t7sn01q3p"	1887	1887		"vulgar"			"Barr, Amelia Edith Huddleston"		"The squire of Sandal-Side;"	"f"	"uk"	144
"mdp.39015061863992"	1887	1887		"vulgar"			"Holley, Marietta"		"Samantha at Saratoga"	"f"	"us"	56
"uiuo.ark+=13960=t9v12mm90"	1887	1887		"vulgar"			"Alexander, Mrs"		"Mona's choice"	"f"	"us"	54
"uiuo.ark+=13960=t1pg1z41b"	1887	1887	1887	"elite"	8721815	1836678	"Barry, William Francis"	"v.2"	"The new Antigone"	"m"	"uk"	14
"uiuo.ark+=13960=t2988h62s"	1887	1887	1887	"elite"	8721815	1836678	"Barry, William Francis"	"v.1"	"The new Antigone"	"m"	"uk"	14
"nc01.ark+=13960=t5r78z14d"	1887	1887	1887	"elite"	5908901	2510156	"Baylor, Frances Courtenay"		"Behind the Blue Ridge"	"f"	"us"	19
